Country,Year,Rank,Score
PRY,2020,97,24.14
PRY,2021,88,26.4
PRY,2022,91,22.7
PRY,2023,98,21.4
PRY,2024,93,21.9
QAT,2011,26,47.74
QAT,2012,33,45.5
QAT,2013,43,41
QAT,2014,47,40.31
QAT,2015,50,39.01
QAT,2016,50,37.47
QAT,2017,49,37.9
QAT,2018,51,36.56
QAT,2019,65,33.86
QAT,2020,70,30.81
QAT,2021,68,31.5
QAT,2022,52,32.9
QAT,2023,50,33.4
QAT,2024,49,32.9
ROU,2011,50,36.83
ROU,2012,52,37.8
ROU,2013,48,40.33
ROU,2014,55,38.08
ROU,2015,54,38.2
ROU,2016,48,37.9
ROU,2017,42,39.16
ROU,2018,49,37.59
ROU,2019,50,36.76
ROU,2020,46,35.95
ROU,2021,48,35.6
ROU,2022,49,34.1
ROU,2023,47,34.7
ROU,2024,48,33.4
RUS,2011,56,35.85
RUS,2012,51,37.9
RUS,2013,62,37.2
RUS,2014,49,39.14
RUS,2015,48,39.32
RUS,2016,43,38.5
RUS,2017,45,38.76
RUS,2018,46,37.9
RUS,2019,46,37.62
RUS,2020,47,35.63
RUS,2021,45,36.6
RUS,2022,47,34.3
RUS,2023,51,33.3
RUS,2024,59,29.7
RWA,2011,109,25.86
RWA,2012,102,27.9
RWA,2013,112,27.64
RWA,2014,102,29.31
RWA,2015,94,30.09
RWA,2016,83,29.96
RWA,2017,99,27.36
RWA,2018,99,26.54
RWA,2019,94,27.38
RWA,2020,91,25.06
RWA,2021,102,23.9
RWA,2022,105,18.7
RWA,2023,103,20.6
RWA,2024,104,19.7
SAU,2011,54,36.44
SAU,2012,48,39.3
SAU,2013,42,41.21
SAU,2014,38,41.61
SAU,2015,43,40.65
SAU,2016,49,37.75
SAU,2017,55,36.17
SAU,2018,61,34.27
SAU,2019,68,32.93
SAU,2020,66,30.94
SAU,2021,66,31.8
SAU,2022,51,33.4
SAU,2023,48,34.5
SAU,2024,47,33.9
SDN,2011,124,20.36
SDN,2012,141,16.8
SDN,2013,141,19.81
SDN,2014,143,12.66
SDN,2015,141,14.95
SDN,2016,-1,-1
SDN,2017,-1,-1
SDN,2018,-1,-1
SDN,2019,-1,-1
SDN,2020,-1,-1
SDN,2021,-1,-1
SDN,2022,-1,-1
SDN,2023,-1,-1
SDN,2024,-1,-1
SEN,2011,100,27.56
SEN,2012,97,28.8
SEN,2013,96,30.48
SEN,2014,98,30.06
SEN,2015,84,30.95
SEN,2016,106,26.14
SEN,2017,100,27.11
SEN,2018,100,26.53
SEN,2019,96,26.83
SEN,2020,102,23.75
SEN,2021,105,23.3
SEN,2022,99,19.9
SEN,2023,93,22.5
SEN,2024,92,22
SGP,2011,3,59.64
SGP,2012,3,63.5
SGP,2013,8,59.41
SGP,2014,7,59.24
SGP,2015,7,59.36
SGP,2016,6,59.16
SGP,2017,7,58.69
SGP,2018,5,59.83
SGP,2019,8,58.37
SGP,2020,8,56.61
SGP,2021,8,57.8
SGP,2022,7,57.3
SGP,2023,5,61.5
SGP,2024,4,61.2
SLV,2011,90,29.14
SLV,2012,93,29.5
SLV,2013,88,31.32
SLV,2014,103,29.08
SLV,2015,99,29.31
SLV,2016,104,26.56
SLV,2017,103,26.68
SLV,2018,104,25.11
SLV,2019,108,24.89
SLV,2020,92,24.85
SLV,2021,96,25
SLV,2022,100,19.9
SLV,2023,95,21.8
SLV,2024,98,20.6
SRB,2011,55,36.31
SRB,2012,46,40
SRB,2013,54,37.87
SRB,2014,67,35.89
SRB,2015,63,36.47
SRB,2016,65,33.75
SRB,2017,62,35.34
SRB,2018,55,35.46
SRB,2019,57,35.71
SRB,2020,53,34.33
SRB,2021,54,35
SRB,2022,55,32.3
SRB,2023,53,33.1
SRB,2024,52,32.3
SVK,2011,37,39.05
SVK,2012,40,41.4
SVK,2013,36,42.25
SVK,2014,37,41.89
SVK,2015,36,42.99
SVK,2016,37,41.7
SVK,2017,34,43.43
SVK,2018,36,42.88
